transaction_id,date,product_id,customer_id,quantity,discount_pct
T00076,2023-01-19,P008,C0005,1.0,5.0
T00077,2023-04-10,P005,C0444,2.0,0.0
T00078,2023-03-01,P010,C0352,1.0,15.0
T00079,2023-06-16,P007,C0243,4.0,0.0
T00080,2023-07-21,P004,C0021,1.0,0.0
T00081,2023-12-11,P001,C0152,1.0,0.0
T00082,2023-05-26,P002,C0128,2.0,5.0
T00083,2023-06-13,P010,C0124,1.0,5.0
T00084,2023-08-30,P010,C0146,2.0,0.0
T00085,2023-03-10,P004,C0277,1.0,10.0
T00086,2023-06-24,P001,C0310,2.0,0.0
T00087,2023-02-18,P008,C0394,3.0,10.0
T00088,2023-04-18,P009,C0152,4.0,0.0
T00089,2023-08-14,P004,C0360,1.0,10.0
T00090,2023-06-10,P010,C0111,1.0,5.0
T00091,2023-04-29,P003,C0469,1.0,5.0
T00092,2023-05-29,P002,C0473,4.0,0.0
T00093,2023-05-30,P005,C0116,4.0,5.0
T00094,2023-10-20,P003,C0188,1.0,0.0
T00095,2023-05-23,P010,C0057,1.0,15.0
T00096,2023-06-09,P007,C0251,1.0,0.0
T00097,2023-01-11,P006,C0384,1.0,0.0
T00098,2023-05-18,P001,C0407,1.0,5.0
T00099,2023-03-19,P008,C0150,1.0,10.0
T00100,2023-03-18,P002,C0452,2.0,0.0
T00101,2023-09-11,P005,C0162,4.0,15.0
T00102,2023-09-15,P009,C0120,5.0,20.0
T00103,2023-11-16,P008,C0070,1.0,5.0
T00104,2023-10-18,P002,C0412,2.0,0.0
T00105,2023-09-20,P009,C0351,3.0,10.0
T00106,2023-03-26,P005,C0099,1.0,0.0
T00107,2023-05-26,P010,C0167,2.0,0.0
T00108,2023-11-19,P006,C0298,1.0,15.0
T00109,2023-02-11,P003,C0151,1.0,20.0
T00110,2023-05-05,P003,C0326,1.0,15.0
T00111,2023-06-16,P010,C0464,1.0,0.0
T00112,2023-08-29,P008,C0002,2.0,0.0
T00113,2023-10-07,P010,C0152,1.0,0.0
T00114,2023-07-07,P010,C0401,1.0,0.0
T00115,2023-10-29,P002,C0365,1.0,0.0
T00116,2023-01-19,P002,C0065,3.0,0.0
T00117,2023-03-09,P005,C0326,1.0,5.0
T00118,2023-08-06,P006,C0069,2.0,10.0
T00119,2023-04-12,P002,C0121,2.0,10.0
T00120,2023-02-11,P005,C0109,1.0,10.0
T00121,2023-10-15,P007,C0316,1.0,0.0
T00122,2023-06-16,P010,C0247,2.0,0.0
T00123,2023-04-19,P010,C0434,1.0,10.0
T00124,2023-02-05,P008,C0093,1.0,5.0
T00125,2023-08-20,P007,C0268,2.0,5.0
T00126,2023-08-17,P008,C0103,1.0,0.0
T00127,2023-12-19,P009,C0431,1.0,0.0
T00128,2023-06-13,P005,C0451,1.0,5.0
T00129,2023-03-14,P005,C0112,1.0,15.0
T00130,2023-05-16,P010,C0321,2.0,15.0
T00131,2023-12-19,P004,C0411,2.0,5.0
T00132,2023-03-11,P009,C0304,2.0,5.0
T00133,2023-07-15,P005,C0344,2.0,10.0
T00134,2023-09-26,P002,C0062,1.0,5.0
T00135,2023-02-18,P010,C0300,1.0,5.0
T00136,2023-11-12,P008,C0403,1.0,15.0
T00137,2023-05-10,P007,C0443,1.0,10.0
T00138,2023-01-05,P008,C0136,5.0,15.0
T00139,2023-01-27,P003,C0055,3.0,0.0
T00140,2023-06-09,P004,C0108,1.0,5.0
T00141,2023-05-29,P005,C0303,1.0,10.0
T00142,2023-09-21,P006,C0258,1.0,0.0
T00143,2023-08-18,P001,C0253,1.0,10.0
T00144,2023-07-19,P004,C0222,1.0,0.0
T00145,2023-02-19,P010,C0478,2.0,10.0
T00146,2023-03-08,P005,C0369,3.0,5.0
T00147,2023-10-27,P007,C0167,2.0,0.0
T00148,2023-02-27,P005,C0429,1.0,0.0
T00149,2023-09-16,P001,C0160,1.0,5.0
T00150,2023-12-08,P007,C0449,2.0,5.0
T00151,2023-11-22,P008,C0166,3.0,0.0
T00152,2023-05-10,P007,C0205,3.0,15.0
T00153,2023-08-03,P004,C0267,4.0,5.0
T00154,2023-06-21,P008,C0138,2.0,5.0
T00155,2023-09-15,P005,C0368,2.0,0.0
T00156,2023-04-12,P010,C0443,1.0,15.0
T00157,2023-07-28,P009,C0346,2.0,0.0
T00158,2023-10-18,P010,C0248,1.0,5.0
T00159,2023-12-20,P005,C0055,1.0,10.0
T00160,2023-10-13,P001,C0404,2.0,0.0
T00161,2023-04-26,P009,C0209,1.0,5.0
T00162,2023-09-21,P005,C0017,1.0,0.0
T00163,2023-05-30,P006,C0068,1.0,10.0
T00164,2023-10-27,P004,C0133,1.0,5.0
T00165,2023-02-05,P006,C0188,1.0,15.0
T00166,2023-11-29,P008,C0407,1.0,15.0
T00167,2023-10-14,P003,C0430,1.0,5.0
T00168,2023-10-30,P005,C0308,1.0,10.0
T00169,2023-11-07,P002,C0138,5.0,5.0
T00170,2023-07-27,P002,C0174,1.0,0.0
T00171,2023-04-16,P007,C0412,1.0,5.0
T00172,2023-06-07,P010,C0097,2.0,15.0
T00173,2023-05-01,P010,C0171,3.0,0.0
T00174,2023-02-24,P010,C0154,2.0,0.0
T00175,2023-01-12,P006,C0183,1.0,0.0
T00176,2023-05-25,P004,C0242,2.0,0.0
T00177,2023-05-16,P005,C0304,2.0,0.0
T00178,2023-01-03,P001,C0285,2.0,0.0
T00179,2023-05-24,P007,C0027,2.0,0.0
T00180,2023-01-30,P008,C0402,4.0,5.0
T00181,2023-08-25,P009,C0360,4.0,0.0
T00182,2023-10-06,P008,C0060,2.0,5.0
T00183,2023-12-14,P005,C0202,1.0,15.0
T00184,2023-04-25,P003,C0250,2.0,20.0
T00185,2023-04-14,P010,C0362,3.0,5.0
T00186,2023-04-28,P009,C0069,1.0,0.0
T00187,2023-01-05,P006,C0458,5.0,20.0
T00188,2023-12-26,P005,C0370,1.0,10.0
T00189,2023-09-05,P003,C0021,1.0,0.0
T00190,2023-12-30,P006,C0152,4.0,0.0
T00191,2023-11-17,P003,C0102,1.0,0.0
T00192,2023-05-01,P010,C0387,1.0,0.0
T00193,2023-10-13,P006,C0488,1.0,0.0
T00194,2023-05-29,P004,C0095,1.0,15.0
T00195,2023-03-25,P002,C0446,1.0,5.0
T00196,2023-08-19,P008,C0361,1.0,5.0
T00197,2023-10-15,P004,C0229,1.0,10.0
T00198,2023-06-10,P009,C0125,5.0,10.0
T00199,2023-09-29,P007,C0258,5.0,15.0
T00200,2023-02-07,P002,C0322,1.0,20.0
T00201,2023-08-14,P004,C0487,2.0,
T00202,2023-05-22,P005,C0369,1.0,20.0
T00203,2023-10-19,P003,C0426,1.0,
T00204,2023-05-31,P009,C0236,1.0,0.0
T00205,2023-04-24,P005,C0162,5.0,5.0
T00206,2023-08-25,P002,C0042,4.0,5.0
T00207,2023-03-07,P003,C0276,1.0,15.0
T00208,2023-12-27,P009,C0353,1.0,0.0
T00209,2023-12-07,P007,C0068,1.0,5.0
T00210,2023-09-15,P002,C0173,2.0,0.0
T00211,2023-09-06,P009,C0492,2.0,0.0
T00212,2023-11-27,P004,C0331,1.0,0.0
T00213,2023-11-19,P009,C0125,3.0,5.0
T00214,2023-06-29,P002,C0170,1.0,10.0
T00215,2023-07-09,P010,C0047,4.0,0.0
T00216,2023-06-03,P004,C0261,2.0,5.0
T00217,2023-07-15,P005,C0217,1.0,0.0
T00218,2023-11-07,P002,C0305,3.0,0.0
T00219,2023-09-19,P010,C0124,3.0,5.0
T00220,2023-05-23,P001,C0293,1.0,0.0
T00221,2023-12-08,P007,C0162,1.0,5.0
T00222,2023-11-12,P010,C0201,4.0,0.0
T00223,2023-04-11,P001,C0454,1.0,0.0
T00224,2023-09-01,P008,C0402,1.0,5.0
T00225,2023-01-12,P003,C0462,1.0,5.0
T00226,2023-08-27,P010,C0275,3.0,0.0
T00227,2023-02-18,P006,C0206,3.0,5.0
T00228,2023-02-11,P007,C0040,4.0,10.0
T00229,2023-06-15,P010,C0273,2.0,10.0
T00230,2023-03-23,P001,C0188,1.0,
T00231,2023-10-18,P006,C0355,2.0,5.0
T00232,2023-06-07,P007,C0093,3.0,5.0
T00233,2023-08-04,P006,C0042,1.0,0.0
T00234,2023-06-07,P004,C0465,1.0,15.0
T00235,2023-05-14,P001,C0379,1.0,15.0
T00236,2023-03-08,P009,C0107,2.0,15.0
T00237,2023-12-02,P004,C0328,4.0,10.0
T00238,2023-01-07,P007,C0065,2.0,10.0
T00239,2023-01-14,P007,C0365,5.0,5.0
T00240,2023-03-14,P002,C0309,1.0,5.0
T00241,2023-06-12,P001,C0484,4.0,10.0
T00242,2023-03-07,P008,C0135,3.0,5.0
T00243,2023-12-13,P008,C0494,1.0,0.0
T00244,2023-05-10,P007,C0389,5.0,0.0
T00245,2023-07-25,P008,C0024,1.0,15.0
T00246,2023-10-03,P003,C0028,4.0,0.0
T00247,2023-09-13,P002,C0062,4.0,5.0
T00248,2023-09-23,P007,C0491,3.0,20.0
T00249,2023-01-25,P008,C0273,2.0,10.0
T00250,2023-10-08,P001,C0229,1.0,20.0
T00251,2023-09-10,P010,C0020,2.0,5.0
T00252,2023-11-06,P009,C0003,1.0,0.0
T00253,2023-10-16,P004,C0421,3.0,10.0
T00254,2023-06-13,P004,C0218,3.0,0.0
T00255,2023-04-05,P003,C0399,4.0,0.0
T00256,2023-09-27,P006,C0307,1.0,0.0
T00257,2023-11-17,P001,C0432,3.0,0.0
T00258,2023-04-20,P006,C0136,4.0,0.0
T00259,2023-12-02,P002,C0397,3.0,0.0
T00260,2023-11-06,P009,C0432,1.0,5.0
T00261,2023-08-26,P002,C0003,1.0,10.0
T00262,2023-01-25,P007,C0193,1.0,0.0
T00263,2023-05-21,P001,C0073,2.0,0.0
T00264,2023-04-27,P007,C0415,2.0,5.0
T00265,2023-01-25,P005,C0361,5.0,5.0
T00266,2023-03-20,P008,C0118,1.0,15.0
T00267,2023-03-09,P004,C0154,1.0,0.0
T00268,2023-06-22,P010,C0209,2.0,15.0
T00269,2023-01-12,P007,C0440,3.0,5.0
T00270,2023-10-15,P006,C0034,4.0,5.0
T00271,2023-05-08,P005,C0137,3.0,0.0
T00272,2023-04-06,P004,C0318,1.0,0.0
T00273,2023-04-02,P007,C0120,2.0,0.0
T00274,2023-05-21,P005,C0115,,0.0
T00275,2023-01-31,P005,C0013,1.0,5.0
T00276,2023-11-30,P001,C0069,1.0,10.0
T00277,2023-01-20,P002,C0425,1.0,10.0
T00278,2023-05-26,P005,C0333,1.0,5.0
T00279,2023-11-12,P003,C0257,2.0,5.0
T00280,2023-06-09,P002,C0089,1.0,0.0
T00281,2023-12-15,P004,C0047,1.0,20.0
T00282,2023-02-12,P004,C0260,1.0,5.0
T00283,2023-09-11,P004,C0228,2.0,0.0
T00284,2023-05-10,P004,C0447,1.0,0.0
T00285,2023-03-01,P003,C0180,2.0,5.0
T00286,2023-05-31,P007,C0010,1.0,5.0
T00287,2023-10-14,P009,C0284,1.0,0.0
T00288,2023-01-05,P005,C0377,1.0,10.0
T00289,2023-09-23,P004,C0126,1.0,10.0
T00290,2023-12-11,P002,C0134,1.0,5.0
T00291,2023-05-10,P002,C0155,1.0,0.0
T00292,2023-09-24,P005,C0248,4.0,0.0
T00293,2023-06-27,P007,C0140,2.0,15.0
T00294,2023-09-10,P010,C0318,1.0,15.0
T00295,2023-02-25,P010,C0436,1.0,0.0
T00296,2023-03-24,P009,C0176,5.0,0.0
T00297,2023-04-09,P007,C0323,2.0,0.0
T00298,2023-05-29,P005,C0174,1.0,0.0
T00299,2023-11-25,P010,C0481,2.0,5.0
T00300,2023-06-05,P010,C0074,3.0,20.0
T00301,2023-07-09,P010,C0351,3.0,0.0
T00302,2023-09-20,P006,C0143,1.0,0.0
T00303,2023-03-21,P003,C0455,1.0,15.0
T00304,2023-09-09,P005,C0292,1.0,0.0
T00305,2023-04-07,P008,C0398,4.0,20.0
T00306,2023-09-17,P001,C0112,2.0,5.0
T00307,2023-09-17,P001,C0206,1.0,15.0
T00308,2023-04-13,P007,C0131,4.0,0.0
T00309,2023-02-09,P005,C0369,4.0,0.0
T00310,2023-09-30,P005,C0110,5.0,0.0
T00311,2023-04-11,P001,C0370,4.0,0.0
T00312,2023-12-25,P009,C0067,5.0,0.0
T00313,2023-11-04,P001,C0382,1.0,20.0
T00314,2023-08-09,P005,C0086,3.0,10.0
T00315,2023-11-04,P010,C0275,3.0,5.0
T00316,2023-05-04,P009,C0227,1.0,0.0
T00317,2023-08-19,P004,C0460,1.0,10.0
T00318,2023-06-27,P008,C0438,5.0,10.0
T00319,2023-03-04,P006,C0325,1.0,0.0
T00320,2023-04-26,P003,C0010,4.0,15.0
T00321,2023-07-10,P004,C0489,1.0,0.0
T00322,2023-03-03,P002,C0417,1.0,0.0
T00323,2023-09-13,P001,C0397,1.0,0.0
T00324,2023-01-07,P008,C0384,1.0,10.0
T00325,2023-06-04,P001,C0355,2.0,5.0
T00326,2023-04-02,P001,C0435,2.0,0.0
T00327,2023-01-14,P004,C0288,1.0,0.0
T00328,2023-08-17,P010,C0459,1.0,0.0
T00329,2023-03-27,P010,C0112,1.0,0.0
T00330,2023-05-13,P006,C0486,1.0,0.0
T00331,2023-07-02,P009,C0024,3.0,0.0
T00332,2023-03-03,P001,C0291,1.0,0.0
T00333,2023-08-07,P007,C0339,1.0,15.0
T00334,2023-09-03,P010,C0326,1.0,5.0
T00335,2023-08-18,P005,C0168,1.0,10.0
T00336,2023-03-20,P008,C0438,1.0,0.0
T00337,2023-05-29,P007,C0109,1.0,0.0
T00338,2023-05-18,P004,C0428,3.0,0.0
T00339,2023-11-10,P004,C0190,4.0,0.0
T00340,2023-03-06,P006,C0490,3.0,0.0
T00341,2023-01-13,P006,C0355,1.0,15.0
T00342,2023-08-01,P009,C0196,1.0,15.0
T00343,2023-08-30,P005,C0033,2.0,0.0
T00344,2023-08-01,P008,C0205,2.0,0.0
T00345,2023-06-30,P005,C0312,5.0,20.0
T00346,2023-12-04,P002,C0420,1.0,0.0
T00347,2023-06-22,P006,C0182,1.0,5.0
T00348,2023-06-09,P009,C0491,2.0,20.0
T00349,2023-06-13,P003,C0147,3.0,20.0
T00350,2023-07-07,P001,C0427,3.0,0.0
T00351,2023-07-10,P001,C0268,2.0,0.0
T00352,2023-11-04,P003,C0011,5.0,0.0
T00353,2023-09-13,P010,C0070,2.0,15.0
T00354,2023-07-02,P005,C0256,4.0,15.0
T00355,2023-04-27,P003,C0396,5.0,5.0
T00356,2023-10-09,P009,C0219,3.0,10.0
T00357,2023-07-15,P008,C0297,1.0,10.0
T00358,2023-02-03,P003,C0409,1.0,5.0
T00359,2023-02-21,P009,C0362,2.0,10.0
T00360,2023-04-22,P006,C0259,1.0,5.0
T00361,2023-09-09,P007,C0003,,5.0
T00362,2023-03-23,P004,C0084,1.0,0.0
T00363,2023-08-20,P004,C0156,1.0,10.0
T00364,2023-08-15,P002,C0151,3.0,0.0
T00365,2023-08-21,P005,C0176,1.0,0.0
T00366,2023-08-09,P008,C0195,1.0,10.0
T00367,2023-02-11,P007,C0426,1.0,5.0
T00368,2023-01-21,P007,C0472,2.0,15.0
T00369,2023-02-11,P006,C0107,1.0,0.0
T00370,2023-04-23,P003,C0424,3.0,5.0
T00371,2023-04-15,P005,C0134,1.0,0.0
T00372,2023-07-11,P001,C0276,4.0,15.0
T00373,2023-01-17,P007,C0395,1.0,0.0
T00374,2023-04-30,P009,C0352,1.0,5.0
T00375,2023-05-09,P001,C0380,1.0,10.0
T00376,2023-05-10,P002,C0155,1.0,0.0
T00377,2023-03-01,P003,C0277,2.0,20.0
T00378,2023-02-17,P003,C0236,1.0,15.0
T00379,2023-01-29,P008,C0240,1.0,0.0
T00380,2023-04-07,P007,C0370,2.0,0.0
T00381,2023-01-10,P006,C0013,1.0,0.0
T00382,2023-08-30,P010,C0342,1.0,0.0
T00383,2023-11-10,P010,C0035,3.0,15.0
T00384,2023-08-20,P004,C0047,4.0,20.0
T00385,2023-10-04,P009,C0214,1.0,0.0
T00386,2023-10-11,P001,C0412,1.0,0.0
T00387,2023-07-22,P002,C0405,5.0,5.0
T00388,2023-09-04,P004,C0494,1.0,0.0
T00389,2023-10-17,P003,C0146,5.0,0.0
T00390,2023-09-21,P001,C0159,1.0,0.0
T00391,2023-08-02,P005,C0444,4.0,5.0
T00392,2023-07-19,P007,C0125,1.0,5.0
T00393,2023-03-20,P002,C0110,4.0,10.0
T00394,2023-12-09,P005,C0037,1.0,0.0
T00395,2023-12-10,P006,C0277,2.0,10.0
T00396,2023-06-22,P007,C0014,1.0,5.0
T00397,2023-03-10,P001,C0473,1.0,15.0
T00398,2023-03-28,P007,C0347,3.0,0.0
T00399,2023-04-11,P004,C0232,2.0,15.0
T00400,2023-01-08,P008,C0316,4.0,15.0
T00401,2023-11-29,P004,C0124,1.0,0.0
T00402,2023-07-19,P006,C0279,3.0,0.0
T00403,2023-03-28,P009,C0479,1.0,15.0
T00404,2023-02-12,P005,C0111,5.0,10.0
T00405,2023-04-19,P004,C0124,5.0,15.0
T00406,2023-06-01,P008,C0413,1.0,10.0
T00407,2023-01-17,P009,C0431,4.0,5.0
T00408,2023-05-13,P004,C0030,3.0,0.0
T00409,2023-05-28,P003,C0115,1.0,0.0
T00410,2023-10-04,P008,C0090,2.0,20.0
T00411,2023-08-20,P005,C0212,1.0,0.0
T00412,2023-11-10,P002,C0038,3.0,0.0
T00413,2023-08-16,P010,C0083,1.0,10.0
T00414,2023-05-19,P009,C0027,1.0,10.0
T00415,2023-07-30,P003,C0217,1.0,0.0
T00416,2023-01-28,P002,C0360,2.0,0.0
T00417,2023-02-20,P001,C0486,3.0,0.0
T00418,2023-09-18,P008,C0372,5.0,0.0
T00419,2023-09-18,P003,C0215,1.0,10.0
T00420,2023-12-16,P007,C0221,1.0,0.0
T00421,2023-12-18,P001,C0015,2.0,15.0
T00422,2023-01-08,P001,C0443,2.0,10.0
T00423,2023-11-16,P009,C0259,1.0,5.0
T00424,2023-05-18,P008,C0266,1.0,0.0
T00425,2023-02-07,P003,C0463,2.0,5.0
T00426,2023-04-21,P006,C0120,1.0,0.0
T00427,2023-08-08,P003,C0464,3.0,0.0
T00428,2023-12-03,P004,C0401,2.0,10.0
T00429,2023-08-11,P001,C0128,4.0,0.0
T00430,2023-05-16,P005,C0211,2.0,10.0
T00431,2023-09-13,P001,C0011,1.0,0.0
T00432,2023-12-26,P001,C0176,3.0,0.0
T00433,2023-11-25,P010,C0133,2.0,20.0
T00434,2023-02-18,P007,C0325,1.0,5.0
T00435,2023-10-19,P006,C0320,2.0,5.0
T00436,2023-11-20,P002,C0014,1.0,5.0
T00437,2023-03-19,P002,C0050,3.0,0.0
T00438,2023-04-15,P007,C0410,1.0,10.0
T00439,2023-06-18,P001,C0072,2.0,0.0
T00440,2023-08-05,P002,C0069,1.0,5.0
T00441,2023-04-29,P008,C0391,1.0,5.0
T00442,2023-07-09,P006,C0383,5.0,15.0
T00443,2023-09-12,P002,C0016,3.0,5.0
T00444,2023-09-23,P007,C0439,1.0,0.0
T00445,2023-05-29,P004,C0334,1.0,5.0
T00446,2023-06-13,P002,C0357,1.0,0.0
T00447,2023-05-20,P006,C0056,2.0,0.0
T00448,2023-12-13,P009,C0105,3.0,0.0
T00449,2023-09-15,P009,C0132,2.0,5.0
T00450,2023-09-26,P008,C0484,2.0,0.0
T00451,2023-06-30,P003,C0048,3.0,0.0
T00452,2023-06-09,P003,C0248,1.0,15.0
T00453,2023-12-17,P002,C0273,1.0,10.0
T00454,2023-10-15,P005,C0111,2.0,0.0
T00455,2023-10-15,P004,C0420,5.0,0.0
T00456,2023-08-14,P007,C0326,3.0,5.0
T00457,2023-01-11,P004,C0336,2.0,15.0
T00458,2023-01-10,P009,C0349,2.0,0.0
T00459,2023-09-28,P002,C0484,4.0,10.0
T00460,2023-09-30,P006,C0038,1.0,5.0
T00461,2023-07-02,P007,C0357,1.0,5.0
T00462,2023-06-02,P004,C0240,5.0,20.0
T00463,2023-11-11,P006,C0318,3.0,10.0
T00464,2023-11-30,P007,C0121,1.0,15.0
T00465,2023-05-04,P004,C0048,1.0,0.0
T00466,2023-04-24,P008,C0010,1.0,5.0
T00467,2023-10-05,P009,C0233,1.0,5.0
T00468,2023-08-01,P001,C0036,5.0,0.0
T00469,2023-06-21,P007,C0413,1.0,5.0
T00470,2023-10-15,P009,C0462,4.0,0.0
T00471,2023-06-23,P010,C0004,1.0,0.0
T00472,2023-04-23,P005,C0044,2.0,0.0
T00473,2023-05-02,P002,C0056,1.0,10.0
T00474,2023-02-01,P010,C0042,3.0,15.0
T00475,2023-08-10,P006,C0255,2.0,0.0
T00476,2023-04-29,P007,C0228,2.0,5.0
T00477,2023-02-08,P002,C0114,1.0,0.0
T00478,2023-09-25,P002,C0237,1.0,15.0
T00479,2023-08-21,P010,C0397,1.0,5.0
T00480,2023-01-18,P010,C0174,1.0,10.0
T00481,2023-05-29,P001,C0255,2.0,10.0
T00482,2023-05-29,P004,C0466,2.0,0.0
T00483,2023-05-06,P007,C0417,2.0,5.0
T00484,2023-10-29,P009,C0277,2.0,20.0
T00485,2023-12-26,P003,C0464,1.0,0.0
T00486,2023-08-26,P007,C0335,1.0,5.0
T00487,2023-05-15,P007,C0441,1.0,20.0
T00488,2023-05-31,P007,C0069,3.0,0.0
T00489,2023-08-24,P002,C0326,2.0,15.0
T00490,2023-08-12,P006,C0230,1.0,15.0
T00491,2023-07-22,P002,C0067,1.0,10.0
T00492,2023-09-13,P006,C0304,4.0,0.0
T00493,2023-03-27,P010,C0460,2.0,0.0
T00494,2023-05-30,P003,C0484,2.0,0.0
T00495,2023-08-23,P002,C0417,1.0,10.0
T00496,2023-12-11,P006,C0036,1.0,10.0
T00497,2023-01-22,P002,C0417,5.0,5.0
T00498,2023-12-14,P005,C0159,3.0,0.0
T00499,2023-10-12,P002,C0149,1.0,0.0
T00500,2023-09-26,P003,C0027,3.0,10.0
T00501,2023-09-15,P003,C0475,3.0,10.0
T00502,2023-01-29,P006,C0072,1.0,15.0
T00503,2023-08-01,P006,C0248,1.0,10.0
T00504,2023-10-10,P010,C0101,1.0,10.0
T00505,2023-02-19,P003,C0190,1.0,10.0
T00506,2023-04-05,P003,C0096,2.0,5.0
T00507,2023-03-29,P001,C0384,1.0,0.0
T00508,2023-02-13,P007,C0282,3.0,15.0
T00509,2023-10-05,P008,C0322,5.0,5.0
T00510,2023-06-20,P002,C0396,1.0,0.0
T00511,2023-07-08,P004,C0278,1.0,0.0
T00512,2023-12-19,P010,C0017,3.0,0.0
T00513,2023-07-03,P007,C0263,3.0,5.0
T00514,2023-01-03,P008,C0107,3.0,0.0
T00515,2023-07-10,P001,C0068,1.0,0.0
T00516,2023-04-28,P004,C0128,1.0,5.0
T00517,2023-01-19,P006,C0293,2.0,0.0
T00518,2023-01-23,P003,C0294,5.0,10.0
T00519,2023-01-30,P005,C0096,1.0,0.0
T00520,2023-10-22,P010,C0395,4.0,5.0
T00521,2023-04-18,P009,C0001,1.0,0.0
T00522,2023-10-08,P003,C0409,5.0,0.0
T00523,2023-05-08,P005,C0298,2.0,0.0
T00524,2023-08-17,P008,C0180,1.0,10.0
T00525,2023-04-21,P006,C0408,2.0,10.0
T00526,2023-05-16,P004,C0181,1.0,0.0
T00527,2023-12-28,P008,C0235,1.0,5.0
T00528,2023-07-05,P003,C0440,1.0,0.0
T00529,2023-05-24,P003,C0319,1.0,20.0
T00530,2023-03-13,P004,C0337,1.0,20.0
T00531,2023-05-09,P009,C0008,3.0,5.0
T00532,2023-12-30,P005,C0443,2.0,5.0
T00533,2023-09-18,P008,C0429,1.0,10.0
T00534,2023-01-03,P006,C0027,3.0,10.0
T00535,2023-04-14,P003,C0308,2.0,5.0
T00536,2023-08-12,P008,C0146,5.0,20.0
